question,answer
What Is A Life Insurance Mouth Swab Test For? ,"A mouth swap for life insurance will test for the following : HIV/Aids and Hepatitis B Tobacco Use Cocaine -LRB- or other elicit drugs -RRB- Use There are other things a swab test can be used for , but for life insurance purposes these are the basics . In addition , if you are only doing a swab test rather than a full paramedical exam then you are most likely applying for a small death benefit term life policy . These are great , inexpensive ways to provide death benefit to the insured . For additional information on a swab test for term life insurance please visit www.clminsure.com or call 561-320-2978 "
How Much To Spend On Life Insurance? ,"There are a few factors involved in what you need to spend on life insurance , but you will find - if you do some research - that premiums will vary somewhat from company to company . So if you work with an agent who has the ability to work with several different insurers you will likely be able to get the best rate for whichever type of life insurance products you decide on . Other than that the amount you spend on your insurance will be determined by your age , gender , health and the amount of benefit you choose . Also there are options for `` riders '' which add certain benefits , some of which are additional to the basic premium . The amount and type , ie Whole Life or Term will be determined by what your goals and needs are for the insurance . With all these things in mind I recommend you enlist the aid of a good Insurance Adviser / Broker who can help you make the right determinations and select the best insurer and products for you . "
How Do You Calculate Homeowners Insurance? ,"Insurance companies use two types of calculation tools to first determine the cost to replace the home if there is a total loss . The replacement cost is one of the determining factors in rating a home . The next factors are the location of the home , information about the individuals purchasing the home and their prior homeowners insurance history . Then we discuss with the client the desired additional coverage 's and deductible options beyond the basic replacement cost to help determine what best fits the clients needs and to give peace of mind on this important asset . "
What Does An Life Insurance Underwriter Do? ,"A life insurance underwriter is a key part of the Life Insurance Company . The actuary , another person , sifts through mountains of data to determine the life expectancy of a standard risk based upon each possible age . The underwriter determines if the individual is standard . They take personal declarations and information given by the applicant . They review medical records provided by attending physicians . They look at driving records . They can order tests and background investigations . If everything is normal the policy is likely to be issued standard . If the person is better than average , they might be preferred . If something makes the person more likely to experience early death they will be offered a rated policy . If they are too far from standard the underwriter is likely to decline them . "
Where To Get Renters Insurance Quote? ,Some insurance companies will provide a quote for renters insurance on line or by phone . I believe that there is a great deal of value in having a relationship with an insurance agent . There probably wont be any difference in pricing but with the agent you will receive advice on setting limits and any additional coverage which might be important to you . Give an agent a call . 
Will Home Insurance Cover My Laptop? ,"Discuss the specific terms and conditions of your Homeowners policy with your Insurance Professional , but it is likely that your policy will provide some coverage , albeit limited , for your laptop . Naturally any loss settlement would be subject to your policy deductible and there may be certain `` inside limits '' for laptops , computers , tablets , etc. that cap the amount of coverage and causes of loss . "
Can You Get Life Insurance On Another Person? ,"Yes , you can get life insurance on another person . It is not a requirement that life insurance be just taken out on yourself . As Steve said , you must have an insurable interest in the other person . When you get life insurance on another person , you can be the owner , payer , and/or beneficiary of that policy . Usually , but not always , the people who pay the premium also want to own the policy , because the owner can change the beneficiary . "
Who Is The Best Insurance Company For Homeowners? ,The best insurance company is the one insuring you when you have a claim . The best policy is one with limits adequate to deal with your needs . Price becomes immaterial if the coverage is inadequate . Companies are regulated by your state insurance commissioner who has your interests as his responsibility . Find an agent who will listen and then design a plan that meets your needs . 
Can Death Row Inmates Get Life Insurance? ,"That is an excellent question ! I work with several insurance companies , and I do not know of a single one that will insure someone who is currently incarcerated , especially one on death row . Insurance companies are all about risk , and if the applicant is living a lifestyle that includes incarceration , you can bet they will pass every time . Generally there will be a period of time that must elapse before they will consider approving the claim . Unfortunately , this is one of those side effects of negative behavior that is n't considered beforehand , and becomes a big problem afterward . Sorry , but thanks for asking ! "
What Is The Average Cost Of Individual Health Insurance? ,"In 2014 the national average cost of a Silver level plan -LRB- approximately 70 % coverage level and the most common plan design purchased -RRB- was $ 328 per month . This cost , in the overwhelming number of cases , will increase for 2015 plan year rates . As this is a national average figure and health insurance costs vary significantly from state to state , between regions within a state , and between different insurance carriers , it is only the roughest approximation of what health insurance might cost you . Your age and tobacco use status , plus the health insurance plan and insurance carrier you select are the primary factors in determining what your specific individual health insurance rates will be . Finally , whether or not you fall within the income ranges where you would qualify for some degree of an advanced premium tax subsidy will also factor into what your final monthly cost for individual health insurance would be . "
Is A Life Insurance Check Taxable? ,"That is an excellent question ! The very nice answer is that the money paid from a life insurance company to the beneficiary is not subject to State or Federal Income taxes . It is not counted as taxable income on your taxes . It is basically free money , and that is one of the main reasons that people buy policies . Thanks for asking ! "
Why Does Landlord Require Renters Insurance? ,"The landlord is trying to make sure that you are able to handle any lawsuit arising from your being in his building . He is also trying to make sure that you understand that he doesnt have any liability for loss of your personal property , regardless of the reason . Many tenants do not understand this . "
How Much Is Life Insurance For A Child? ,"Most individuals add children to their term life policies , for $ 10,000 on each healthy child , you can expect to pay , around $ 5.00 or $ 6.00 per month . Many also purchase a Whole life insurance , however these polices are much more expensive in the long run , even tough the monthly premium may be lower . "
What Is American Life Insurance? ,"There are many life insurance companies that have the word , `` American '' in their title . Are you certain that the entire name of the company is American Life Insurance ? If you are asking about American Life Insurance in general , it would be life insurance that provides coverage to persons in the United States . "
How Much Life Insurance Does Someone Need? ,"It depends on your individual situation . Everyone is different so there is no single answer to that question . I usually recommend enough to pay final expenses . The national average right now is between $ 5000 and $ 15000 . My recommendation for final expenses would be at least $ 25000 to help allow for inflation . There are a lot of factors to consider , debt , family situation , and a variety of other factors . Sit down with a good experienced independent agent . A good agent will help you find an affordable solution to your goals and needs . "
How To Lower My Homeowners Insurance? ,"Storms throughout the country are causing home insurance rates to increase rapidly . However , there are ways to reduce your cost . First , make sure you home is insured for the right amount . Second , increase your deductible . Third , review optional coverages on your policy and decide if the coverage is worth the cost . "
Can You Get Car Insurance With An Expired License? ,"No , you can not do that . Each driver to be insured must have a valid drivers license . The insurance company will verify eligibility of each driver by pullingtheir motor vehicle record -LRB- MVR -RRB- prior to issuing a policy . If a license is suspended or expired , the insurance company will decline to offer insurance coverage . "
Can I Pay My Car Insurance With A Credit Card? ,"Every insurance company is different , but generally speaking , most companies will accept credit cards . However , the ones that do accept credit card payments may or may not accept the card the your are trying to use . So in short , you can usually use a credit card to pay for for insurance , but just contact your local insurance professional or carrier to make sure . Thanks for asking ! "
Does Health Insurance Cover Quitting Smoking? ,"If you purchase individual health insurance , you may have toask your agent to check individual policies in your area , as there is no `` mandated '' benefit for smoking cessation . When Healthcare Reform rolls around , it may be included as a preventive benefit , but that has not been defined yet . "
How Much Is Health Insurance Without A Job? ,"The same as it will be if you have a job . Under the affordable care act , you may be able to qualify for a subsidy to reduce your monthly premiums . If you qualify for a subsidy , you will want to look at health plans on the health insurance exchanges - subsidies can not be applied to plans off the exchanges . It 's always helpful to consult with an experienced health insurance broker who can work with you on a personal level to help you determine which plan will be most suitable to your specific needs . I hope the information is helpful - please feel free to contact me for help or if you have any other questions . Thanks very much . "
How Much Of Your Salary Is Covered By Disability Insurance? ,"For a group Disability policy , the maximum of your salary that you will receive is about 60 % . For private Disability insurance , the maximum of your salary that can be replaced is about 80 % . These numbers will vary greatly depending on the policy , and if there are two policies . the total of the coverage can not be over the maximum amount . "
What Happens To Car Insurance After A DUI? ,"Two things may happen after you receive a DUI conviction : You can expect to see higher auto insurance premiums with any company . You may receive a letter of none renewal from most standard auto insurance companies . You will see a significant increase in premium from a non-standard insurance company at time of renewal , Call the MVA of DMV in your state to see how this affects you driving privileges . You may be denied a Job offer . You may be denied life insurance with some companies . It is not good in either case . "
How Much Voluntary Life Insurance? ,"If you 're asking how much payroll-deducted life insurance should you purchase above your free group term , there are a few considerations to think about . First , be sure you understand what happens to the coverage if you leave your employer . Most of these plans are not portable , and they terminate when you leave the company . For that reason , I would not look to these plans as a replacement for personally owned life insurance outside of your employer . The other issue is that contrary to conventional wisdom , payroll deducted life insurance may not be lower in cost than buying outside of work . Many of these companies who issue the coverage use a less stringent underwriting process , which may be a good thing if you are not insurable at the best rate classes . However , if you are in very good health , you will likely pay less for individual coverage than through payroll deduction . There 's also the term conversion benefit on personally owned coverage that you may not have on the voluntary policy . "
How Much Does Life Insurance Cost For A 60 Year Old? ,"The rates for life insurance for a 60 year old , as with every age , depend a lot on the type of policy and health of the applicant . If applying for a 10 year Term policy , willing to take an exam and in superb health with no other risk , a 60 year old female could get a rate as low as $ 43/mo for $ 250,000 . If she has some moderate health conditions and does n't want to take an exam , she could get a $ 15,000 final expense policy that will not go up in price for the rest of her life for about $ 43/mo . "
How To Fill Out Claim For Disability Insurance Benefits? ,"There are five basic steps needed to file a claim for disability insurance benefits . First , download the claim form from the web portal of the insurance company issuing the policy . Second , complete the personal information section . Third , have your doctor complete the physician 's report section stating the medical reason why you are unable to work . Fourth , have your employer complete the appropriate section verifying that you are no longer earning an income . Fifth , sign the form and return it to the insurance carrier for review . "
At What Age Does Health Insurance Drop? ,"For most Americans with individual health coverage , their policy will terminate , or drop , at age 65 , when they become eligible for Medicare . People who receive coverage from their employer may be able to remain on their group coverage beyond age 65 , depending on the rules governing your employer 's plan . In such a case , you should also consider whether or not to accept Medicare coverage , or you may incur penalties for enrolling in Medicare after you are first eligible . "
Can You Keep A Car On The Road Without Insurance? ,"In the State of North Dakota , you are required to have a drivers license to legally drive a car alonewithout fines or penalties . However , there are a few insurance companiesthat will insure you and a vehicle if you have a permit and you own a vehicle . If you are driving the vehicle you own with a licensed driver you will be able to legally operate your vehicle and have it insured in your name . "
Is Term Life Insurance A Good Investment? ,"Term life insurance as noted by Peggy above here has no cash value and is temporary . So it has no investment value . If you mean `` is term life insurance a good value in the case of my dying , then yes ... IF you die before the policy terminates . If you die while the policy is in force your beneficiary will receive considerably more money that you had paid into the policy , and that tax free . So in that case it would have been a good benefit , value and investment . If you outlive the policy you get no money back , the policy is gone and so is the money you paid into it . So in that respect it 's like many other high risk investments - there 's a good chance you 'll loose all your money and no one will benefit ... except the company that sold the policy -LRB- investment -RRB- . "
Can I Get Life Insurance If I Have Taken Drugs? ,"If you have taken drugs over 10 years ago but have never had to have treatment or have not had any infractions due to drug use , your history of drug use may only affect your premium slightly , or possibly not at all . If your last drug use was more recent , you can still get simplified issue life insurance if you have not used drugs in the past two years . And finally , there is guaranteed issue life insurance for those who are currently using drugs . "
Can You Buy Life Insurance For A Parent? ,"YES of course . In fact many `` children '' are purchasing Life Insurance to prevent a financial strain on the family . Also consider , with the Critical Illness & Chronic Illness features on policies these days , it is not a bad idea to get a policy which will help fund in the event of a heart attach , stroke , cancer & Chronic Illness which you can think of in simple terms as Long-Term care needs -LRB- note : these generally speaking are not Long-Term Care Insurance but is available -RRB- . Remember there does have to be an insurable interest in place . Depending on the company , you may have to have insurance on yourself . Your parents have to be involved in the process as well . You CAN NOT just take a policy out without them knowing . "
Am I Covered On My Girlfriend's Auto Insurance Policy? ,"Just want to add a bit of additional information , I do not believe is well covered in the answers so far . You are rightly concerned about your own use of the vehicle . But there is a broader issue as well . If both of you are listed on the policy as named insureds , you both can create permissive use on your own . So being a named insured is important to making sure you have a policy that will respond , but also recognize that you are then both entitled to create permissive use by others . What does that mean ? you could hand the keys to a friend or your live in partner could as well . So with any expansion of coverage there is additional responsibilities . If you or your partner let any one else use your car you should make sure you 1 -RRB- that person has a valid drivers license and 2 -RRB- know or certain the person you are allowing to use your vehicle is not impaired by alcohol , drugs or lack of sleep . These couple of check points will help keep you out of trouble for what is deemed to be negligent enturstment . I add one other disclaimer . I am not a licensed agent in your state , so this is just friendly advice that cost nothing and should be viewed as such . "
Will Medicare Pay For A Blood Pressure Machine? ,"Medicare does not normally pay for a blood pressure machine . Two exceptions are if you are suspected to have `` white coat syndrome '' where your blood pressure goes up when taken by a health care professional . Then Medicare may pay for an ambulatory blood pressure monitoring device that takes your blood pressure periodically over a 24 hour period . Or if you are on dialysis in your home , Medicare will pay for your blood pressure monitor and stethoscope . "
What Is The Best And Cheapest Life Insurance? ,"The cheapest life insurance is usually annually renewable term , followed by 10 year term . Annually renewable term goes up in price every year , and 10 year term goes up in price every 10 years . Some companies carry 5 year term , but there are so few choices that 10 year term rates often beat the rates of 5 year term . Whether that type of short term policy is best for you depends on your need for the life insurance . E.g. . If you are purchasing it to pay for your funeral , you run the very real risk of being unable to afford the policy by the time you die . In that case , buying permanent insurance is usually a better choice , even if it starts out costing more . However , if you only need your policy for a few years , getting a short term policy is most likely your best and cheapest choice . "
What Kind Of Retirement Plan Is Best? ,"The first step is to establish what your effective tax bracket is to determine if you should set up a qualified or non qualified plan . If your tax bracket is low , the deduction may not be as valuable in a qualified plan as the flexibility of a non qualified plan . You also want to assess your risk tolerance to help you select suitable investments that meet your financial profile . Another consideration is whether to set an individual plan or participate with a plan at work . Some employers match portions of your contributions , so it 's important to thoroughly examine your options . "
Does Long Term Care Insurance Include Assisted Living? ,"Long Term Care Insurance can include assisted living . Some LTC policies will pay the benefit directly to the insured person when the benefit is triggered . Thus , the insured can use it to purchase the lowest level of care that will allow them to maintain a residence in a facility , or even use it to hire a caregiver in their own home . "
Can You Buy Insurance For A Car You Don't Own? ,"I would like to add my two cents to this question , as Im not sure a couple of situations have been covered . But the question is Can I insure a car I dont own . If you own and insure a car , your own policy should extend your coverage to any car you are driving -LRB- borrowed , temporary substitute or short-term rental -RRB- as long as it is not another car you own or regularly use . In that sense , your policy then insures you driving a car you dont own . If you dont own a car but often drive cars you dont own and want to make sure you are adequately covered , you should be able to purchase a form of Drive Other Car coverage . Its common to see this coverage on business auto policies covering the business owner and family members when the business owner doesnt own a personal car but is provided vehicles by the company . Here again you are in a sense insuring a car you dont own . In my practice , I like to make sure every client has access to an automobile insuring agreement , as a named insured on a policy covering an owned car , as a spouse or family member residing in the household or some form of Drive Other Car coverage . I like to see adequate limits , comprehensive and collision and appropriate uninsured/underinsured coverage . No responsible adult should be without some form of auto insurance coverage ; as an owner , operator , passenger or pedestrian . "
Does A Spouse Have To Be The Beneficiary Of Life Insurance? ,"No . A spouse does not have to be the Beneficiary of a Life Insurance Policy . It can be anyone that has what is called an `` Insurable Interest '' in the person being Insured . In otherwords , it is supposed to be someone who could possibly suffer a financial loss if the Insured were to die . This could be most any family member , a close friend , or even a business partner . "
Where To Purchase Annuities? ,"An annuity is a life insurance product . The best person to discuss annuities with is a licensed life insurance agent . If you dont know which agent to contact , ask for referrals from friends , colleagues and neighbors . A good agent will listen to you , provide sound financial advice and communicate clearly with you and the insurance company . The agent can match your desires with a suitable annuity . "
How Much Life Insurance Does A Person Need? ,"There is no set amount . Conventional methods used by life insurance professionals to determine the amount you need focus on `` Capital Needs Analysis '' , `` Human Life Value '' or methodologies that involve variations on these . The key thing is to meet with a life insurance professional who can help you start the planning process and ensure that adjustments are made over time . To help prepare for that meeting , you can use one of the many online calculators such as this one : WEBSITELINK "
How Quickly Can I Get Life Insurance? ,If you have certain medical conditions you will not be able to apply for a life insurance policy that will issue withina day . Also remember that there is a clause with most if not all life insurance policies that will allow the carrier to deny payment of the death benefit within the first two years the policy is in effect if it is found that any part of the policy information was fraudulant or death of the insured was self inflicted . 
Does A Beneficiary Pay Taxes On A Life Insurance Policy? ,"For personally-owned policies , life insurance death benefits paid in a lump sum to the beneficiary are received income tax free - a unique and important benefit . If the beneficiary is a business and that business owned the policy , the business is generally not subject to the regular corporate federal income tax on the death proceeds provided special requirements are satisfied for policies issued or materially modified since August 17 , 2006 -RRB- . "
How Many People Have A Retirement Plan? ,"That is a great question ! The really short and really scary answer is not enough . And of those who do , the majority have found that it is nowhere near enough . The average retirement fund has enough to provide for three years of current standard living , but the average lifespan after retirement is fifteen years . What is going to happen those last twelve ? Add to that the rising costs of skilled care , -LRB- 70 % of Seniors will require some at one point -RRB- and even the little savings disappear quickly . Unfortunately , we do n't emphasize teaching people about retirement preparation , and as a result , 55 % of our Seniors live in poverty , and depend upon public programs that will soon be bankrupt to survive . I sincerely hope that is n't you , one day . If you are afraid it is , please contact me . Thanks for asking ! "
At What Age Does Term Life Insurance Go Up? ,"Term life insurance goes up in price after the years for which the guaranteed premium have been completed . E.g. . If you took out a 30 year policy at age 30 and it was guaranteed not to go up in price for the full 30 years , it would go up at age 60 . If the policy was guaranteed not to go up for 20 of the 30 years , there is a chance that it could go up at age 50 . "
Does Home Insurance Cover Leaking Pipes? ,"Ryan is correct - if a pipe has been leaking for the past few months and failed to go unnoticed , your homeowners policy would n't extend coverage . Furthermore , most policies do n't include mold coverage and , in fact , are excluded from coverage under most policies . As such , you should take care to notice and resolve any water damage immediately , and utilizing Servpro or ServiceMaster to mitigate water damaged areas as quick as possible . "
What Is The Interest Rate On Annuities? ,"This can vary depending on the type of Annuity . Deferred Fixed Annuities currently pay anywhere from 2 % for a 3 year contract , up to 3 % for a 6 year contract . An Immediate Fixed Annuity -LRB- which pays a percentage based income for life on the amount you invest in the Annuity -RRB- currently pay up to 6.42 % for a 65 year old , all the way up to 9 % for a 75 year old . It is best to work with an independent annuity expert who can shop the current rates and give you the best company and best product available on the market . "
When Should I Get Health Insurance For My Baby? ,"Typically the new born child must be added within 30 days after birth . Please contact your insurance carrier or HR department to do this ASAP . Very important and time sensitive , the sooner the better . The baby may be admitted under it 's own name right after birth for various reasons and coverage must begin then . Most insurance companies require notice within 30 days of birth "
Can I Get Money From My Term Life Insurance Policy? ,"Term Life Insurance has come a long way from days past when it just paid you a death benefit to your heirs when you passed . Today , besides having the death benefit , you can design your term life policies to give you access to the death benefit if you have a covered Critical Illness or Chronic Illness along with Terminal illness too . This gives you some flexibility during these hard times . Having the Return of Premium rider on there is another option , basically giving you free insurance if you keep the policy to the end of the term . Generally speaking , the return will be equal to 4-8 % if you were to invest the difference . It all depends on your age , the amount of premium and the length of time you have the policy . Talk to a Broker to discuss what makes the most sense to meet YOUR needs . "
Can Annuities Lose Value? ,"The short isit depends on the annuity . There are basically three crediting methods used in deferred annuities : interest rate crediting , indice crediting and separate sub account crediting . Interest rates are generated by the companys predominately government bond portfolio . Most indexed annuities invest their interest rate returns in domestic and foreign index options . Some indexed annuities that credit zero in a given year , still charge policy expenses and which could result in a loss . Variable annuities use equity and bond instruments in their separate sub accounts selected by the variable annuity owner . These separate sub account allocations are subject to market risk , i.e. you can lose money . "
How Do Lifetime Annuities Work? ,"The combination of mortality credits and the interest rate yield create a compelling reason to investigate lifetime income you cant outlive . Generally speaking , annuities offer payout options to their policy owners . Some elect to take out withdrawals other predetermined schedules like ten years or twenty years certain . But a popular payout option in a non-qualified annuity is annuitization for the life of the annuitant based on his or her age . This is also the exclusion ratio where basis is amortized to life expectancy as part of the initial payouts . "
What Is The Average Auto Insurance Rate? ,"This would be very hard to define with any accuracy as rates can vary greatly from one zip code to another . Based on my experience with the companies that I have worked with so far within my geographic location , I would say that an average auto insurance premium is around $ 70/mo . Please contact a local agent to find out about coverage availability and pricing in your area . "
How Do Life Insurance Companies Determine Rates? ,"In answer to your question each individual life insurance company determines it own rates based on information they currently have available to them which would include , past experience , current trends , and futureestimates.This allows the insurance carrierto offer a quality product at a competitive rate with staying profitable . Pretty much all carriers use the same criteria but not all have the same experiences or look at future outcome the same way which is why you have variable pricing from different companies . "
Who Has The Best Permanent Life Insurance? ,"The person with the best permanent life insurance plan is you , if your plan is in force at the full face amount . If you die your heirs are not going to care whether your plan had the best rate of return or the lowest net cost . They will be thrilled that you loved them enough to provide the death benefit that they received because the policy was in force . The best permanent life insurance is the policy that is in force on the day that you die . Regardless of premiums paid , the death benefit will normally be far greater . Permanent life insurance is much more likely to pay a death benefit as only a very small percentage of term life insurance policies result in a death claim . It is quite likely that the best permanent insurance life policy is the one that you purchased several years ago . In this situation , the older , the better . As a policy gets older the increase in cash value each year approaches the premium , making the actual cost of the policy negligible . It is quite likely that the best permanent life insurance policy is the one that you purchased when you were in better health . If you can only get rated life insurance now , then obviously , a non-rated policy would have been better . Many companies offer preferred and extra-preferred rates to individuals , who meet certain weight guidelines , are free of a history of certain diseases and exhibit other healthy characteristics . Over a life time these discounts are significant . The best permanent life insurance policy is one that doesnt have any loans against it . Loans are perfectly acceptable , however , they do accrue interest and they also reduce the death benefit . While a loan may be appropriate , paying back the loan is also a good idea . The best permanent life insurance policy is the one with an up to date beneficiary . A remarkably high number of policies are paid to the wrong person every year . This person isnt wrong according to the law ; however , it is not the person that the owner of the policy wished to receive the benefit . The best permanent life insurance policy is the one purchased from a knowledgeable life insurance agent . This is an agent who has been recommended to you . This agent should listen carefully to you and provide solid financial advice . When the agent makes recommendations they should be in the form of a plan that you can handle financially . It doesnt do any good to start a plan only to later discontinue the plan . The best permanent life insurance policy is the one which is reviewed each year with that same knowledgeable life insurance agent . If there are changes necessary the agent can take care of them quickly saving you consternation later . Since additional protection might be necessary to meet your changing requirements , the agent can give solid advice on how best to cover those needs . The best permanent life insurance policy isnt the result of the superior results of an insurance company . Every company admitted in your state has been scrutinized by your insurance commissioner . Your insurance commissioner is charged with administering the insurance companies admitted or domiciled in your state . In particular , the commissioner is interested in making sure that the insurance companies can keep their promises . In the end that is what you want , a promise kept . The best permanent life insurance policy is the one that you already own or the one that you will purchase soon . "
Is Life Insurance Taxable? ,"Video Transcript : Today 's question is , is life insurance taxable ? Well , at death of the policy insured , the actual proceeds generally go to the beneficiaries of the policy , absolutely tax free . It takes about 60 days for it to process , and your beneficiaries will receive it . And of course , they can use that to pay off indebtedness , or to put money aside in some kind of investment for future obligations like college education or retirement of maybe a surviving spouse . But the beauty of it is , sometimes you can use this for all kinds of ideas that you never thought about , including ongoing income for the surviving spouse ; an idea that is really becoming much more popular today . Some business situations as well as some estate situations may incur a tax , depending upon how it 's owned . But predominantly , most life insurance goes tax free to their beneficiaries . "
Is Homeowners Insurance Mandatory? ,"Homeowners Insurance is not mandatory ; for those that do n't want to be covered by home insurance against the perils of Fire , Wind , Theft , Burglary and Personal Liability , they may self insure at their own risk . If the home owner has taken a mortgage on the property , the mortgage company will require the asset insured thereby requiring the home owner to buy insurance . "
Does Medicare Part A Cover Doctors In Hospital? ,"It depends on how you mean this question . The care you receive from doctors while an inpatient at a hospital is covered under Medicare Part A . This is considered part of the medical treatment . If you have an appointment with a doctor who has an office at the hospital , this is covered by Medicare Part B . "
Can The IRS Levy Life Insurance Proceeds? ,"Once constructive receipt of life insurance proceeds enter the beneficiaries account , it becomes an asset . If the IRS levies the account , the life insurance funds are commingled with the other funds in the accounts and can be collected . It important for beneficiaries to remain unencumbered with financial liabilities , especially when they may be receiving life insurance proceeds . "
What Information Is Needed For Homeowners Insurance? ,"A lot ... but your local independent agent can help you with the completion of the required information . Here are some examples of what is needed . -LRB- List is not all inclusive . -RRB- Basic info about the prospective policyholder : name , address , age -LRB- for possible Senior Discount -RRB- Mortgage holder info Year built , type of building construction , roofing type Square footage Use : full-time dwelling , seasonal usage only , etc. . Protection Class -LRB- Agent can provide based on location -RRB- Proximity to fire dept and hydrants Wind coverage needs in some States Protection/Security devices : Smoke alarms , central station monitoring systems for fire , smoke , break-ins Deductibles desired/required Swimming pool ? Protection from accidental entry ? Trampoline ? Types of playsets on premises ? Types of animals -LRB- Some are excluded since a homeowner policy also provides liability coverage and animal bites to others are strict liability issues . -RRB- Again , not all encompassing by any means but it is not as difficult as it might seem to provide all of the needed information , especially with the help of a local independent insurance agent who should already be familiar with the territory and can make the application process flow . "
Can You Switch Medigap Policies? ,"The short answer is yes , you can switch your medicare supplement policy at any point in the year . The catch though is getting approved for the new plan . If you are over 65 and do not have a special enrollment condition you will need to pass a medical underwriting process for the new plan to accept you , this usually does not require a physical exam . If you are looking to change plans I highly recommend working with an expert licensed insurance agent who can help match you up with a company that will give you the best price for your situation . To search and compare plans and prices online please visit www.themedigapmarket.com "
Will Homeowners Insurance Cover Roof Leak? ,"Any damage to the residence caused by one of the named perils is covered . When the incident is sudden it is generally assumed to be covered . If it is a long term , slow leak there might be some concerns about proper maintenance . Recovery on the roof itself will probably be restricted to actual cash value at the time of loss . This restriction is frequently in an amendment to the policy . The damage to the interior is treated in accordance with policy provisions . "
Is A Tree Falling Covered By Homeowners Insurance? ,"It depends . Where does it fall?What caused it to fall ? A tree struck by lightning is typically covered . A tree that falls due to wind is not covered unless itlands onyour property such as your home or auto . If it lands in your yard and causes no damage , there is no coverage for the tree itself . Your healthy tree that lands on your neighbor 's house is covered by their homeowners insurance not yours . Prior to making a claim , you should always talk to your trusted insurance advisor to verify your coverage . "
How Do You Qualify For Disability Insurance? ,"You qualify for Disability Insurance by applying for a policy , just like you would for Life Insurance . You fill out an application and take a paramed exam in your home or other location of your choice . Not only do the DI underwriters look at your health , but they also take into consideration the nature or your job and the amount of income you make . Then they determine a rating based on the likelihood of your becoming disabled due to illness or injury , and how much Disability Insurance you can get based on your income . If your health disqualifies you , you may still be able to get a Disability Insurance policy with an exclusion , or get a graded DI policy . "
Why Buy Key Man Life Insurance? ,"Most companies have at least one person -LRB- e.g. the owner of the company -RRB- who 's loss can have a substantial impact on the business ' revenue . Upon this `` key-person 's '' death , someone else must be hired to carry on the same tasks performed earlier . Many company owners therefore insist on buying life insurance coverage to minimize the risk , and many lenders require that the business carry life insurance on the key person to protect their loans and investments in the company . The business would generally own the policy , pay the premiums , and be the beneficiary . Key person policies are often used to support a buy-sell agreement between business partners with the proceeds structured to purchase the deceased partner 's shares or interests in the company - the agreement would typically mandate that the deceased partner 's estate sell it 's stock to the remaining partners/shareholders and that the partners/shareholders purchase the interest for a specified price -LRB- theprice should help establish the value of the business for estate planning purposes -RRB- . "
What Questions Do They Ask For Life Insurance? ,"An important thing to know is what they do n't ask you but do check . For instance , insurance companies will check : Your MIB -LRB- medical insurance bureau -RRB- to see if you have applied with other companies and if you have been declined . You MVD report -LRB- Motor Vehicle Department -RRB- to see if you have any outstanding tickets , felonies , or dui 's . Your Pharmacy Report to see what medications you have been prescribed by Doctors . Make sure you answer the above questions honestly on the applications as the underwriters will be checking this information . "
Does Disability Insurance Cover Dental? ,"In general disability insurance does not cover dental work . You are eligible to file a claim if a covered medical condition prevents you from performing the full time duties of your primary occupation . The policy replaces a portion of income , and makes claims payments directly to the insured . If you need dental work you cant submit a claim to disability insurance as you would with dental insurance . Disability insurance will not reimburse dentists for performing procedures . Disability insurance may cover your income loss if your dental problems interfered with your ability to work . This is very rare . "
What Is Basis In Retirement Plan? ,Since a tax qualified plan defers taxation until money is withdrawn there is no cost basis . Or to put it another way the basis is $ 0 . All funds coming out will be taxed as ordinary income when received . If funds are rolled over to an IRA those funds when received will be taxed as ordinary income . 
Why Are Retirement Plan Obligations Liabilities? ,"Retirement plan obligations are liabilities because they are liabilities in the accounting sense of a liability . It is money for which the employer is legally obligated to pay or encumber on the behalf of an employee and is not money that the employer has freedom to use in any fashion it wishes , therefore the agreement to make certain benefits available under the plan are a liability to the company , as would be the case with any other legally agreed upon obligation . "
When To Change Homeowners Insurance? ,"You can change your Homeowners ' Insurance at any time , but for the most part , the switch can be a bit less complicated at the policy 's anniversary date rather than mid-term . That having been said , if you decide you have a need to change at any time , talk to your Insurance Professional who will be able to help make it as easy and beneficial to you as possible . "
Can You Have Two Medigap Plans? ,"No . It 's useless to have 2 medigap plans anyway as the coverage would become redundant - you would be paying extra money for no additional benefit as the carrier would n't be able to pay extra above and beyond what 's stated in the policy . E.g. -LRB- under the assumption that you could have 2 Medigap plans -RRB- if you have a plan F and a plan N , the plan F already covers everything at 100 % making the benefits under a plan N moot and would n't pay anything out . I hope the information is helpful - please feel free to contact me for help , including quotes and plan comparisons , and if you have any other questions . Thanks very much . "
What Is Variable Term Life Insurance? ,"Variable term life insurance ? Never heard of that ! You may be thinking of a variable ` premium ' or `` flexible premium '' life insurance . . ? As Peggy mentioned above , variable products have cash value and term policies do not . The `` variable '' component in those products is the amount of interest earned , because they are tied to investments in the stock market . A flexible premium life insurance would be a Universal Life policy , which is actually similar to a term policy where the cost of insurance goes up and once that exceeds what is being paid in premiums the sach value is consumed until there is no more insurance . There is such a thing as `` indexed '' universal Life , which is tied to a stock index and therefore the interest paid into the cash value will vary depending on the performance of the index . "
